uid,D11,D22,D33,max_offdiag,phi,seconds
269,0.584151,0.584151,0.544809,4.175e-06,0.706525,3.31
279,0.708251,0.660585,0.622005,2.118e-08,0.772081,3.13
292,0.393454,0.393454,0.394240,6.841e-05,0.736084,0.63
293,0.364041,0.364041,0.363420,4.441e-05,0.702759,0.53
270,0.527164,0.527164,0.473722,7.777e-06,0.662001,3.09
271,0.500859,0.500859,0.462064,1.127e-05,0.643012,3.03
294,0.324101,0.324101,0.324101,2.012e-07,0.666077,0.43
295,0.287499,0.287499,0.287402,7.997e-05,0.628845,0.46
296,0.265112,0.265112,0.265750,6.762e-08,0.607422,0.42
297,0.232730,0.232730,0.232712,5.291e-06,0.573914,0.53
300,0.538885,0.538885,0.538886,1.541e-03,0.885862,0.67
301,0.490930,0.490930,0.490895,8.926e-05,0.836447,0.59
298,0.184006,0.184006,0.183908,6.670e-06,0.527222,0.39
299,0.129010,0.129010,0.130709,2.789e-05,0.485565,0.36
302,0.464755,0.464755,0.464755,8.370e-17,0.812555,0.25
303,0.426044,0.426044,0.425927,3.638e-05,0.771049,0.69
304,0.398981,0.398981,0.398987,3.427e-03,0.744591,0.71
305,0.409171,0.409171,0.408174,3.082e-03,0.716980,0.89
306,0.340699,0.340699,0.336960,2.516e-03,0.676666,0.68
307,0.291458,0.291458,0.291458,6.190e-05,0.633179,0.53
308,0.284859,0.284859,0.285051,1.157e-04,0.615662,0.62
309,0.234923,0.234923,0.234165,1.760e-04,0.577942,0.65
272,0.454954,0.454954,0.411675,2.434e-05,0.605252,2.88
273,0.419757,0.419757,0.375068,4.006e-05,0.574074,2.64
312,0.567483,0.567483,0.463981,5.997e-04,0.887524,0.62
313,0.531683,0.531683,0.430441,1.153e-04,0.852437,0.64
314,0.490150,0.490150,0.398711,2.857e-05,0.813637,0.70
315,0.474696,0.474696,0.379000,2.023e-05,0.778687,0.79
310,0.164257,0.164257,0.159151,2.076e-04,0.527283,0.82
311,0.121235,0.121235,0.121254,2.208e-05,0.495239,0.64
274,0.382864,0.382864,0.345048,3.528e-05,0.541956,2.47
275,0.327197,0.327197,0.295509,2.173e-17,0.493056,0.72
316,0.411059,0.411059,0.322952,2.884e-07,0.735840,0.68
317,0.379987,0.379987,0.306950,2.290e-05,0.709351,0.64
318,0.352060,0.352060,0.285716,1.768e-04,0.680908,0.63
319,0.294011,0.294011,0.236371,1.174e-05,0.629456,0.47
280,0.666543,0.609887,0.569804,8.766e-05,0.741292,3.78
281,0.612731,0.560143,0.515372,3.387e-17,0.704427,1.33
324,0.581080,0.494329,0.494329,2.705e-05,0.877141,0.63
325,0.538106,0.454487,0.454487,3.123e-03,0.836000,0.79
326,0.498941,0.421761,0.421761,5.949e-04,0.801025,0.68
327,0.460403,0.388781,0.388781,8.702e-05,0.765625,0.71
322,0.211959,0.211959,0.151850,7.788e-17,0.545898,0.31
323,0.144002,0.144002,0.123609,2.870e-08,0.500244,0.51
328,0.514429,0.416348,0.416167,3.587e-05,0.753021,0.75
329,0.399175,0.329419,0.329419,1.488e-04,0.703857,0.80
320,0.274738,0.274738,0.209829,6.939e-06,0.603821,0.49
321,0.249730,0.249730,0.205472,8.654e-06,0.577576,0.55
282,0.555991,0.500829,0.457626,3.393e-06,0.662010,3.49
283,0.524252,0.472079,0.426891,3.583e-17,0.638021,1.20
330,0.337958,0.302649,0.302649,5.087e-06,0.667236,0.61
331,0.320292,0.253514,0.253780,3.751e-05,0.633972,0.85
332,0.301496,0.243567,0.243567,1.027e-05,0.611938,0.63
333,0.260285,0.217020,0.217020,6.720e-07,0.575317,0.66
334,0.168583,0.166049,0.166049,2.423e-17,0.533203,0.28
335,0.133474,0.107773,0.107773,3.068e-07,0.489166,0.61
284,0.478484,0.426235,0.379885,3.593e-06,0.598750,3.04
